"Lon";"Lat"
"2842";3.23;43.040001
"2843";-0.68;37.630001
"2845";3.158891;42.476567
"2848";3.320846;42.320855
"2851";9.851;44.0227
"2853";-6.32387;36.53745
"2854";10.88408;42.57488
"2855";15.71218;38.25815
"2856";10.33166;43.47177
"2857";12.77027;38.16611
"2859";3.1291;41.8251
"2860";23.933;39.1829
"2861";3.22579;42.04934
"2863";12.31092;37.87735
"2866";14.4933;44.7247
"2870";9.7833;40.88306
"2871";3.22855;42.04134
"2872";3.2188;42.2322
"2873";9.8514;44.0236
"2876";11.08013;42.41826
"2880";15.9186;43.5133
"2882";5.1422;43.1951
"2884";3.1554;42.4768
"2891";9.74666;40.915
"2893";9.74763;40.9153
"2895";3.2281;42.0422
"2901";16.30944;43.16806
"2902";14.0258;40.7506
"2906";3.3319;42.32
"2907";10.8759;42.5801
"2908";10.2621;43.5388
"2911";13.5382;38.1133
"2912";5.3903;43.1868
"2913";18.5014;40.1674
"2914";10.33277;43.47
"2919";15.26639;43.80028
"2924";9.84702;44.02932
"2927";14.43222;40.68
"2928";15.4963;42.1166
"2929";22.77;38.77
"2934";11.08138;42.41833
"2935";-5.2483;35.6416
"2936";12.30913;37.87436
"2943";5.3923;43.1864
"2944";9.8333;44.0166
"2946";8.60019;41.96685
"2947";2.9603;39.1237
"2950";3.16487;42.1269
"2955";12.633;35.5156
"2958";5.3886;43.1724
"2959";14.3249;40.61886
"2960";3.22126;42.05174
"2963";9.6333;44.1333
"2966";3.22947;42.04194
"2967";9.125;41.2083333333333
"2970";10.913;42.3744
"2973";14.34288;40.62727
"2976";3.3097;42.2841
"2977";11.09166;42.39999
"2978";-0.66556;37.64645
"2980";9.75194;40.92305
"2990";3.22595;42.05114
"2994";6.35871;43.01739
"2996";11.0688;42.41916
"2997";3.2188;42.2324
"2998";11.18858;42.36152
"2999";0.68508;39.8961
"3003";12.2612;37.4931
"3007";10.40955;42.70978
"3008";11.14698;42.35954
"3009";5.3903;43.1726
"3012";6.3627;43.0186
"3015";3.22941;42.04118
"3017";10.88051;42.38886
"3020";14.46824;40.69905
"3023";12.29543;37.90945
"3029";0.6704;39.8923
"3030";12.30598;37.91116
"3031";10.3338;43.47
"3032";9.85135;44.0224
"3034";24.5666;38.1492
"3038";5.33803;43.2076
"3040";15.51548;42.1244
"3042";10.32055;42.73444
"3046";12.30909;37.87439
"3047";10.4342;42.7753
"3048";18.43648;42.44575
"3050";3.2219;42.0516
"3053";3.224;41.9322
"3057";3.2271;42.04229
"3061";10.31972;42.73583
"3065";10.41305;42.70888
"3066";8.63595;44.35878
"3067";9.85129;44.02278
"3070";9.74696;40.91501
"3072";3.2254;42.0497
"3075";3.2004;41.886
"3083";-0.6523;37.6524
"3087";3.2255;42.0421
"3088";3.22435;42.04481
"3090";15.9422;43.5105
"3096";1.1614;38.9827
"3097";-5.3133;35.7516
"3099";14.73389;43.70417
"3110";15.02755;44.15083
"3112";10.43419;42.73505
"3113";18.4852;40.0787
"3114";11.17;42.35416
"3116";3.22445;42.05032
"3118";10.33249;43.46833
"3121";12.3037;37.9068
"3123";23.99586;39.2234
"3124";1.1656;38.9698
"3125";15.23085;43.82366
"3126";9.33475;41.26095
"3127";10.33345;43.47037
"3128";14.9294;44.07671
"3131";3.2266;42.0411
"3134";15.255;43.80389
"3137";11.08211;42.41836
"3138";15.0671;44.0402
"3139";3.2818;42.2541
"3143";11.0688;42.4191
"3144";5.3382;43.2074
"3147";5.39028;43.17278
"3148";11.86098;42.01795
"3153";1.1686;38.985
"3154";15.7131;38.25618
"3157";5.3955;43.1792
"3159";3.225;42.045
"3160";9.4008;44.25177
"3165";3.2238;42.0496
"3167";18.3668;39.7892
"3168";17.7828;40.1833
"3174";15.96917;43.49333
"3175";10.33213;43.4717
"3178";10.33388;43.46972
"3187";3.22202;42.05111
"3188";10.33143;43.47185
"3193";9.8506;44.0236
"3196";15.70673;38.26073
"3197";10.43194;42.71194
"3198";-2.41919;35.18002
"3199";22.778;38.7874
"3203";3.22889;42.04972
"3204";14.49333;44.72472
"3207";14.24;44.57
"3210";9.20631;41.25113
"3214";9.61588;44.13715
"3215";10.34148;43.46206
"3217";10.88025;42.3888
"3219";26.3228;39.40669
"3220";9.40444;44.25055
"3221";5.4042;43.17472
"3226";5.3931;43.1729
"3229";24.84;39.52
"3230";15.83496;38.3596
"3232";10.92908;42.35546
"3236";9.04166666666667;41.4583333333333
"3239";11.08069;42.41862
"3246";10.41239;42.70969
"3253";3.22647;42.04099
"3255";9.7333;40.9061
"3257";3.22693;42.04137
"3258";15.52396;42.13858
"3259";5.39556;43.17117
"3265";9.85018;44.0236
"3266";1.188;38.8625
"3269";15.72173;38.25604
"3271";3.2671;42.2398
"3278";5.4067;43.18172
"3283";26.625;39.2916666666667
"3285";10.43416;42.77527
"3286";10.31972;42.73444
"3287";3.2995;42.2845
"3288";14.8369;44.8866
"3289";3.23512;42.06
"3290";15.06673;44.04026
"3293";6.36188;43.02019
"3297";10.9106;42.3812
"3298";15.7121;38.2563
"3299";11.0893;42.43002
"3300";2.9039;41.6701
"3302";10.9178;42.36889
"3303";11.0815;42.41852
"3311";16.31056;43.17889
"3314";15.40752;43.75007
"3319";14.73008;44.2634
"3324";14.32488;40.61848
"3328";9.8506;44.0237
"3329";10.4131;42.7092
"3330";9.52637;44.20707
"3332";10.48222;42.98361
"3337";3.3;42.25
"3340";11.08055;42.41805
"3342";23.9583333333333;38.7083333333333
"3346";17.2382;40.9915
"3347";5.4018;43.1757
"3350";5.39479;43.19829
"3352";9.6358;44.1331
"3358";15.47751;42.09878
"3362";12.3095;37.8771
"3363";3.16896;42.11791
"3364";14.83694;44.88667
"3366";6.4094;43.0196
"3367";5.27522;43.12336
"3368";24.8470001220703;39.5250015258789
"3373";6.36506;43.02067
"3376";15.2754;43.8047
"3377";12.2491;37.4959
"3380";12.30591;37.90485
"3384";11.0809;42.418
"3392";15.0657;44.0408
"3393";7.78198;36.96866
"3394";12.0835;37.9451
"3397";10.29951;42.35158
"3401";3.17881;42.12409
"3408";12.3095;37.87713
"3409";3.23000001907;43.0400009155
"3410";3.266;42.24
"3411";15.1111;44.0182
"3412";3.2222;41.9229
"3413";11.09061;42.42972
"3434";11.82753;42.0231
"3435";3.2145;42.061
"3440";11.1099;42.2638
"3447";9.15472;41.2456
"3450";3.16184;42.12016
"3452";15.8338;38.35305
"3456";15.524;42.1386
"3457";16.792;42.763
"3461";-2.43082;35.18416
"3463";12.30366;37.9068
"3464";3.3204;42.3235
"3469";26.51;39.05
"3471";10.33346;43.47037
"3474";14.32471;40.61848
"3476";8.01666;43.85
"3479";2.9105;41.6778
"3481";3.3056;42.3274
"3485";10.43541;42.72166
"3494";10.4333;42.7333
"3495";10.40715;42.7056
"3496";12.3097;37.8781
"3497";3.2632;42.2367
"3507";15.70452;38.2655
"3514";24.9527;39.5309
"3516";10.92735;42.35521
"3523";15.71316;38.25616
"3526";15.2663;43.8002
"3529";9.69826;44.10622
"3532";5.39111;43.18667
"3534";9.8508;44.0239
"3545";9.85516;44.02746
"3546";9.63583;44.13333
"3547";8.2299;44.0255
"3561";14.7338;44.7041
"3562";10.3328;43.4713
"3563";15.22;43.8363
"3564";12.2855;37.91416
"3568";15.22;43.83639
"3573";3.4864;39.9519
"3574";3.22887;42.0419
"3576";10.3331;43.4697
"3578";10.435;42.72666
"3581";11.09634;42.43648
"3582";26.5829;38.9848
"3583";15.51788;42.12461
"3590";12.3091;37.8744
"3591";9.48915;41.22143
"3594";23.9575;39.1904
"3600";3.1625;42.465
"3603";3.4975;39.8835
"3605";17.2595;40.9803
"3610";9.2028;41.25541
"3612";8.72758;42.58438
