"";"Species";"Location";"Year";"Lon";"Lat";"Depth";"Main.reference"
"179";"Paramuricea clavata";"Fondali di Pizzo Calabro; Italy";NA;16.16;38.746;"";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=IT9340092"
"180";"Paramuricea clavata";"Shoal 1; Gulf Efigemia; Italy";NA;16.089;38.742;"70-110";"Bo; M.; Canese; S.; Spaggiari; C.; Pusceddu; A.; Bertolino; M.; Angiolillo; M.; ? Bavestrello; G. (2012). Deep coral oases in the South Tyrrhenian Sea. PloS One; 7(11); e49870. doi:10.1371/journal.pone.0049870"
"181";"Paramuricea clavata";"Calabria; Italy";NA;15.83389;38.36396;"50";"Angiolillo; M.; Canese; S.; Salvati; E.; Giusti; M.; Cardinali; M.; Bo; M. & Greco; S. (2009). Presence of corallium rubrum on coralligenous assemblages below 50m along Calabrian coast (South Italy). In Proceedings of the 1st Mediterranean Symposium on the Coralligenous Conservation and other calcareous bio-concretions. Tabarka; Tunisia (pp. 47-52)."
"185";"Paramuricea clavata";"Fondali di Scilla; Italy";NA;15.714;38.26;"25";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=IT9350173"
"186";"Paramuricea clavata";"Strait of Messina; Italy";NA;15.72297;38.26098;"30-39";"Mistri; M.; & Ceccherelli; V. U. (1996). Effects of a mucilage event on the Mediterranean gorgonian Paramuricea clavata. I ? Short term impacts at the population and colony levels. Italian Journal of Zoology; 63(3); 221?230. doi:10.1080/11250009609356137 In Rivetti; I.; Fraschetti; S.; Lionello; P.; Zambianchi; E.; & Boero; F. (2014). Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. In PloS one; 9(12); (pp. 1-22)."
"187";"Paramuricea clavata";"Punta Faro; Messina; Sicily; Italy";NA;15.6529;38.27202;"55";"Giusti; M.; Canese; S.; Angiolillo; M.; Bo; M.; Salvati; E.; Cardinali; M. & Greco; S. (2009). Three-dimensional distribution of Gerardia savaglia in relation to depth; orientation and slope of the substrata in the south Tyrrhenian Sea. In Proceedings of the 1st Mediterranean Symposium on the Coralligenous Conservation and other calcareous bio-concretions. Tabarka; Tunisia (pp. 96-100). CAR/ASP - Centre d'Activités Régionales pour les Aires Spécialement Protégés. (2003). Le coralligène en Méditerranée."
"188";"Paramuricea clavata";"Fondali di Isola delle Femmine; Capo Gallo; Italy";NA;13.27126;38.22285;">36";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ITA020047"
"189";"Paramuricea clavata";"Fondali di Acicastello (Isola Lachea; Ciclopi); Italy";NA;15.166;37.556;">30";"http://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ITA070028"
"191";"Paramuricea clavata";"Pantelleria; Italy";NA;12.052;36.8;"60";"Vezzulli; L.; Pezzati; E.; Huete-Stauffer; C.; Pruzzo; C.; & Cerrano; C. (2013). 16SrDNA Pyrosequencing of the Mediterranean Gorgonian Paramuricea clavata Reveals a Link among Alterations in Bacterial Holobiont Members; Anthropogenic Influence and Disease Outbreaks. PloS One; 8(6); e67745. doi:10.1371/journal.pone.0067745"
"195";"Paramuricea clavata";"Tyrrenian sea; Italy";NA;14.29;40.83;"";"Rivetti; I.; Fraschetti; S.; Lionello; P.; Zambianchi; E.; & Boero; F. (2014). Global Warming and Mass Mortalities of Benthic Invertebrates in the Mediterranean Sea. In PloS one; 9(12); (pp. 1-22)."
"197";"Paramuricea clavata";"Calabria; Italy";NA;16.118;38.749;"75";"Angiolillo; M.; Canese; S.; Salvati; E.; Giusti; M.; Cardinali; M.; Bo; M. & Greco; S. (2009). Presence of corallium rubrum on coralligenous assemblages below 50m along Calabrian coast (South Italy). In Proceedings of the 1st Mediterranean Symposium on the Coralligenous Conservation and other calcareous bio-concretions. Tabarka; Tunisia (pp. 47-52)."
"198";"Paramuricea clavata";"Calabria; Italy";NA;16.124;38.745;"75";"Angiolillo; M.; Canese; S.; Salvati; E.; Giusti; M.; Cardinali; M.; Bo; M. & Greco; S. (2009). Presence of corallium rubrum on coralligenous assemblages below 50m along Calabrian coast (South Italy). In Proceedings of the 1st Mediterranean Symposium on the Coralligenous Conservation and other calcareous bio-concretions. Tabarka; Tunisia (pp. 47-52)."
"199";"Paramuricea clavata";"Prvic; Croatia";NA;14.84134;44.88438;"23-40";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"200";"Paramuricea clavata";"Prvic; Silo; Croatia";NA;14.842;44.884;"32";"Novosel; M.; Bakran-Petricioli; T.; Pozar-Domac; a.; Kru_i_; P.; & Radic; I. (2002). The benthos of the northern part of the Velebit Channel (Adriatic Sea; Croatia). Natura Croatica; 11(4); 387-409."
"201";"Paramuricea clavata";"Prvic; Samonjin; Croatia";NA;14.82;44.924;"30";"Novosel; M.; Bakran-Petricioli; T.; Pozar-Domac; a.; Kru_i_; P.; & Radic; I. (2002). The benthos of the northern part of the Velebit Channel (Adriatic Sea; Croatia). Natura Croatica; 11(4); 387-409."
"202";"Paramuricea clavata";"Cutin Mali; Croatia";NA;14.493;44.7274;"25-38";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"203";"Paramuricea clavata";"Lun; Croatia";NA;14.73128;44.70559;"25-40";"Kipson; S.; Linares; C.; _i_mek; H.; Cebrián; E.; Ballesteros; E.; Bakran_Petricioli; T.; & Garrabou; J. (2014). Population structure and conservation status of the red gorgonian Paramuricea clavata (Risso; 1826) in the Eastern Adriatic Sea. In Marine Ecology; (pp. 1-12). Garrabou; J.; Kipson; S.; Kaleb; S.; Kruzic; P.; Jaklin; A.; Zuljevic; A.; … Zupan; D. (2014). Monitoring protocol for coralligenous community. Developed within the framework of the MedMPAnet Project."
"204";"Paramuricea clavata";"Stations T1-T4; Marine Park Telascica; Croatia ";NA;15.11399;43.90541;"30-45";"Kruzic; P. (2007). Anthozoan Fauna of Telascica Nature Park (Adriatic Sea ; Croatia). Nat. Croat.; 16(4); 233-266."
"205";"Paramuricea clavata";"Stations T1-T4; Marine Park Telascica; Croatia ";NA;15.15972;43.87713;"30-45";"Kruzic; P. (2007). Anthozoan Fauna of Telascica Nature Park (Adriatic Sea ; Croatia). Nat. Croat.; 16(4); 233-266."
"206";"Paramuricea clavata";"Stations T6; Marine Park Telascica; Croatia ";NA;15.16881;43.86891;"30-45";"Kruzic; P. (2007). Anthozoan Fauna of Telascica Nature Park (Adriatic Sea ; Croatia). Nat. Croat.; 16(4); 233-266."
"207";"Paramuricea clavata";"Stations T8; Marine Park Telascica; Croatia ";NA;15.18122;43.86199;"30-45";"Kruzic; P. (2007). Anthozoan Fauna of Telascica Nature Park (Adriatic Sea ; Croatia). Nat. Croat.; 16(4); 233-266."
