"Lon";"Lat"
"1727";2.6144;41.5392
"1728";3.303;42.3273
"1729";3.2381;42.3493
"1731";9.24298;41.33758
"1738";9.41857;41.74682
"1747";3.3332;42.3166
"1748";2.5556;41.5311
"1749";3.2634;42.237
"1750";3.2285;42.0416
"1771";6.90942;43.42933
"1786";5.28749;43.26152
"1814";8.6283;42.42067
"1816";8.62495;42.42127
"1818";2.94077;41.72
"1820";6.38831;43.006
"1821";15.4963;42.1166
"1822";15.4775;42.0988
"1823";12.2491;37.4959
"1824";5.3886;43.1724
"1825";12.2516;37.4824
"1826";12.2612;37.4931
"1827";12.2637;37.4959
"1828";12.7015;37.1744
"1831";27.4867;40.6465
"1832";29.1508;40.8502
"1833";29.1153;40.8344
"1836";8.03579;43.83482
"1839";8.63595;44.35878
"1840";8.20423;43.99466
"1841";9.04503;44.35647
"1844";9.69826;44.10622
"1845";9.42338;44.23611
"1846";14.24;44.57
"1847";9.46053;43.11792
"1848";9.0382;42.69585
"1853";3.161511;42.407506
"1856";9.30888;41.33802
"1857";9.32576;41.36461
"1858";9.30855;41.33804
"1859";5.39904;43.17361
"1860";9.31128;42.8772
"1861";5.54215;43.14503
"1862";5.39308;43.16968
"1863";5.40025;43.17383
"1864";8.54842;42.2425
"1865";9.33266;41.46415
"1866";5.55483;43.13886
"1867";9.2686;41.4266
"1868";9.37228;41.4879
"1869";8.6055;42.42935
"1870";8.625;42.2916666666667
"1871";8.64701;42.47865
"1872";5.59928;43.16338
"1873";8.76879;41.28359
"1874";5.3383;43.20763
"1875";8.6531;42.26579
"1876";5.62371;43.15523
"1877";5.36158;43.19673
"1879";9.08234;41.3852
"1880";5.40414;43.17578
"1882";5.49888;43.1976
"1883";8.69292;42.53276
"1884";8.56086;42.20266
"1885";5.28639;43.28016
"1887";5.45583;43.20166
"1888";5.54589;43.1453
"1889";8.54016;42.24443
"1890";5.45508;43.20243
"1891";8.72236;42.59304
"1893";8.56055;42.20595
"1894";8.70945;42.53766
"1895";5.22835;43.19853
"1897";8.54858;42.24339
"1902";6.15595;43.0005
"1908";9.743856;40.912687
"1909";3.0391;39.938
"1920";5.39328;43.17276
"1921";5.39671;43.1786
"1922";3.15783;42.47677
"1923";5.39991;43.17391
"1924";8.70696;42.56838
"1925";5.37116;43.17603
"1937";9.08578;41.38738
"1938";2.8801;41.6823
"1941";17.2382;40.9915
"1942";17.236;40.995
"1943";17.2595;40.9803
"1944";16.2633;42.3939
"1945";18.5022;40.1473
"1946";18.4852;40.0787
"1948";17.3113;40.364
"1949";17.7828;40.1833
"1950";17.316;40.3571
"1951";17.27;40.9761
"1952";18.3558;39.7419
"1953";5.39111;43.18667
"1954";3.22889;42.04972
"1955";5.33833;43.2075
"1959";5.39028;43.17278
"1960";5.39556;43.17117
"1964";2.9354;39.1743
"1966";6.14008;43.01245
"1967";6.59262;43.1684
"1968";7.0283;43.51655
"1976";6.13951;43.01237
"1977";6.10879;43.02567
"1980";6.1529;43.00133
"1983";6.71921;43.21722
"1984";6.14982;43.00682
"1985";6.47712;43.05001
"1993";6.0964;43.03232
"2000";5.08917;43.31046
"2005";5.23663;43.32912
"2007";5.22193;43.32836
"2008";5.21788;43.3283
"2009";5.24648;43.33332
"2010";3.1685;42.114
"2021";5.08965;43.31085
"2022";5.19442;43.27353
"2023";5.16199;43.2889
"2024";5.18573;43.29396
"2033";12.3037;37.9068
"2034";12.3091;37.8744
"2035";12.3095;37.8771
"2037";12.3059;37.9049
"2038";12.3097;37.8781
"2039";3.4975;39.8835
"2043";5.3931;43.1729
"2044";5.4514;43.2009
"2045";5.3903;43.1726
"2049";5.4987;43.1976
"2050";6.3627;43.0186
"2056";15.1111;44.0182
"2059";26.5767;39.37
"2060";3.266;42.24
"2062";3.2818;42.2541
"2063";3.3204;42.3235
"2065";3.2281;42.0422
"2069";3.2263;42.048
"2070";3.3199;42.3219
"2071";3.3319;42.32
"2073";3.2995;42.2845
"2074";3.3056;42.3274
"2078";5.2394;43.3308
"2079";5.3382;43.2074
"2080";3.2188;42.2324
"2081";3.1665;42.4641
"2082";5.3911;43.1865
"2083";5.3955;43.1792
"2087";5.4018;43.1757
"2088";10.4167;42.75
"2090";9.8508;44.0239
"2091";10.35;43.45
"2092";0.6704;39.8923
"2094";2.9603;39.1237
"2096";3.2219;42.0516
"2097";3.2254;42.0497
"2100";-5.2997;35.9182
"2101";-5.3133;35.7516
"2102";-5.2483;35.6416
"2103";-0.6523;37.6524
"2105";15.70452;38.2655
"2120";5.7748;43.0958
"2123";5.37505;43.17984
"2132";5.65612;43.05644
"2135";17.9015;40.2415
"2136";18.3664;39.7886
"2137";12.5562;35.5062
"2138";16.31056;43.17889
"2139";15.96917;43.49333
"2140";15.94222;43.51056
"2141";15.91861;43.51333
"2142";15.255;43.80389
"2143";16.30944;43.16806
"2145";15.26639;43.80028
"2146";14.49333;44.72472
"2147";14.73389;43.70417
"2148";14.92667;43.65306
"2149";15.22;43.83639
"2150";14.83694;44.88667
"2151";15.40752;43.75007
"2152";16.792;42.763
"2153";15.9422;43.5105
"2154";15.9691;43.4933
"2156";14.7338;44.7041
"2157";15.22;43.8363
"2158";14.8369;44.8866
"2159";14.4933;44.7247
"2160";15.9186;43.5133
"2161";15.2663;43.8002
"2162";15.255;43.8038
"2172";3.2106;42.0716
"2173";3.2266;42.0411
"2174";3.2124;42.0681
"2175";3.2145;42.061
"2180";7.78198;36.96866
"2181";8.46953;36.90522
"2185";5.33803;43.2076
"2188";5.3923;43.1864
"2191";5.1422;43.1951
"2194";15.1666;43.8781
"2195";15.3671;43.7394
"2196";16.7926;42.7632
"2200";15.712017;38.255851
"2202";15.254142;43.803735
"2203";15.65431;38.26525
"2204";3.223286;42.042008
"2207";9.6952;40.9031
"2217";9.7011;40.9053
"2218";12.0144;36.8244
"2220";15.7386;38.2626
"2221";9.8514;44.0236
"2222";16.1458;38.8708
"2223";16.1269;38.9019
"2224";16.0894;38.7422
"2225";5.27522;43.12336
"2235";9.71;40.9
"2242";3.22;42.04
"2245";5.37089;43.17654
"2247";5.34003;43.20882
"2248";5.33748;43.20735
"2250";5.34018;43.21017
"2251";5.35631;43.20188
"2254";5.33747;43.2075
"2255";5.33281;43.21057
"2256";5.33794;43.20578
"2268";15.524;42.1386
"2269";23.9276;39.2655
"2270";24.5666;38.1492
"2271";26.3769;39.3726
"2272";26.4196;39.342
"2273";18.3668;39.7892
"2274";23.9583333333333;38.7083333333333
"2275";23.9575;39.1904
"2278";9.8514;44.0231
"2283";2.958;39.1261
"2284";5.59334;43.1648
"2285";5.58718;43.16815
"2287";5.3904;43.1718
"2291";3.13163;42.5114
"2292";12.557;35.508
"2293";12.633;35.5156
"2294";3.2255;42.0421
"2296";5.3903;43.1868
"2297";5.3955;43.1788
"2302";5.4042;43.17472
"2303";3.22886;42.04623
"2312";5.39479;43.19829
"2314";5.4067;43.18172
"2315";3.22693;42.04137
"2316";3.22887;42.0419
"2317";3.22126;42.05174
"2319";9.21278;41.31194
"2320";14.29;40.83
"2321";0.68508;39.8961
"2322";3.23512;42.06
"2324";8.0282;43.8514
"2325";9.85135;44.0224
"2326";9.85018;44.0236
"2327";9.84702;44.02932
"2328";5.38;43.21
"2330";5.42799;43.20347
"2331";5.38416;43.17394
"2332";5.45254;43.20114
"2333";5.3941;43.17113
"2334";5.37091;43.17624
"2335";5.39881;43.17677
"2336";5.50501;43.19729
"2337";5.39163;43.18581
"2338";5.36343;43.19626
"2339";5.33692;43.20721
"2342";5.68083;43.15917
"2348";3.1771;42.4409
"2358";24.06829;39.07735
"2359";23.96205;38.70523
"2360";26.4774;39.26054
"2361";26.3228;39.40669
"2362";23.99586;39.2234
"2363";24.63085;38.16149
"2364";9.14649;41.272415
"2365";9.125;41.2083333333333
"2367";9.225028;41.305755
"2370";5.28863;43.25978
"2371";5.28657;43.28066
"2372";5.60638;43.16
"2373";5.61193;43.1603
"2374";5.61922;43.15706
"2375";5.62273;43.1553
"2376";5.28484;43.26361
"2377";3.2056;41.8875
"2392";6.4094;43.0196
"2396";3.32611;42.32
"2398";5.29555;43.115136
"2409";15.166;43.878
"2416";6.36188;43.02019
"2417";6.36506;43.02067
"2422";6.35871;43.01739
"2430";10.2;43.27
"2435";0.68;39.89
"2437";3.2159;42.0603
"2438";5.35;43.29
"2441";9.2134;41.31
"2442";-0.693756;37.632725
"2455";-0.6417;37.69633
"2456";-0.53663;37.7041
"2470";14.0258;40.7506
"2474";-0.6844;37.6336
"2479";3.2222;41.9229
"2485";3.2632;42.2367
"2486";3.2671;42.2398
"2487";3.2792;42.3357
"2488";3.2188;42.2322
"2490";3.1833;41.8816
"2494";3.2238;42.0496
"2495";3.2271;42.0421
"2498";3.222342;42.047585
"2504";6.14336;43.01979
"2508";7.04911;43.50141
"2511";6.68548;43.31471
"2512";7.05085;43.51279
"2513";6.90822;43.41844
"2514";5.61668;43.15955
"2519";6.15599;43.00217
"2520";7.00674;43.54024
"2524";6.6755;43.1746
"2525";6.88546;43.42822
"2527";10.4333;42.7333
"2530";10.3414;43.462
"2536";8.83937;41.64396
"2547";6.3785;43.09779
"2548";6.47579;43.04857
"2551";6.49294;43.03192
"2552";6.34886;43.08367
"2553";5.73541;43.12561
"2554";5.67873;43.1555
"2555";5.69358;43.14296
"2556";6.24197;43.02824
"2557";6.72905;43.26615
"2558";5.70864;43.14318
"2559";6.68684;43.22182
"2561";6.56969;43.17811
"2562";6.4857;43.03486
"2566";3.16487;42.1269
"2567";3.16896;42.11791
"2568";3.16184;42.12016
"2569";3.22595;42.05114
"2570";3.22947;42.04194
"2571";3.22202;42.05111
"2572";3.22941;42.04118
"2574";3.17881;42.12409
"2581";10.3306;42.8281
"2585";5.05556;43.31604
"2597";9.851;44.0227
"2598";9.8506;44.0237
"2600";9.8473;44.0292
"2602";9.83593;44.04113
"2604";9.85516;44.02746
"2627";9.85;44.02
"2632";9.64;44.1
"2633";6.63;43.27
"2635";5.579;43.1646
"2639";5.30218;43.28445
"2640";5.60105;43.16088
"2641";5.28481;43.27958
"2642";5.33181;43.20885
"2643";5.28867;43.26625
"2644";5.23742;43.19595
"2645";5.21153;43.32881
"2646";5.46937;43.20252
"2648";5.54546;43.13737
"2713";15.72173;38.25604
"2716";5.60781;43.16075
"2718";8.6316;42.4208
"2719";22.778;38.7874
"2720";23.8427;39.138
"2721";23.933;39.1829
"2723";24.9527;39.5309
"2725";26.5164;39.0401
"2726";26.5829;38.9848
"2730";15.71218;38.25815
"2750";15.70673;38.26073
"2767";8.72819;42.581238
"2768";8.727703;42.582625
"2769";8.728132;42.583131
"2770";3.22435;42.04481
"2773";8.7626;42.5705
"2774";3.1399;42.5175
"2775";3.1625;42.465
"2776";3.1554;42.4768
"2777";3.320331;42.321681
"2876";14.86;36.15
"2879";3.134624;42.480874
"2893";3.1667;42.4667
"2897";8.95128;41.43771
"2898";5.55813;43.16163
"2899";5.02803;43.32095
"2900";9.21021;41.3555
"2901";5.54476;43.1552
"2902";8.7024;41.80002
"2903";8.76371;41.59132
"2904";5.35201;43.2074
"2906";8.70971;41.76758
"2907";8.72894;42.58562
"2908";8.58639;41.94269
"2909";8.58543;41.94467
"2912";9.25565;42.7378
"2914";8.7014;41.79781
"2916";9.25222;41.30929
"2917";5.3324;43.17881
"2918";5.22992;43.32841
"2920";7.52008;43.75516
"2923";8.89997;41.43742
"2924";5.03207;43.31476
"2926";6.70266;43.20745
"2928";5.03208;43.31488
"2929";6.70645;43.20775
"2930";5.54856;43.16731
"2931";8.76162;41.59094
"2932";5.33245;43.17878
"2933";8.69685;41.79177
"2934";5.54116;43.12466
"2935";8.79037;41.63533
"2936";5.38333;43.16667
"2937";5.53333;43.2
"2938";5.32957;43.27633
"2939";3.23;43.040001
"2940";-0.68;37.630001
"2942";3.158891;42.476567
"2945";3.320846;42.320855
