Lon;Lat
-80.78684;25.07469
-80.74725;25.06925
-80.77888;25.0714
-80.73376;25.07333
-80.7721;25.08496
-80.78155;25.0821
-80.73405;25.08061
-80.76282;25.08545
-80.76626;25.08932
-80.78184;25.0892
-80.77786;25.09563
-80.75717;25.09314
-80.76917;25.09394
-80.76509;25.05172
-80.75925;25.09351
-80.7683;25.06758
-80.90755;25.04921
-80.782128;25.06384
-80.92799;25.05693
-80.91656;25.0535
-80.9228;25.04753
-80.77356;25.05833
-80.91676;25.03588
-80.90591;25.0576
-80.76127;25.06576
-80.90443;25.04756
-80.91923;25.06331
-80.91426;25.06304
-80.90167;25.06519
-80.92533;25.03538
-80.91245;25.03481
-80.906302;25.071611
-80.9344;25.06474
-80.91747;25.06853
-80.94037;25.07122
-80.91167;25.04369
-80.929;25.04053
-80.88212;24.98075
-80.90684;25.0424
-80.93247;25.0685
-80.9021;25.04432
-80.90571;25.03861
-80.92277;25.03999
-80.85018;24.97772
-80.86936;24.98497
-80.89745;24.99313
-80.87253;24.99573
-80.84259;24.97685
-80.88467;24.99702
-80.89622;25.00619
-80.86546;24.99738
-80.89271;25.0014
-80.85725;24.9863
-80.87032;25.00124
-80.88548;25.01588
-80.85054;24.98822
-80.89387;25.00799
-80.86638;25.01125
-80.85788;25.01402
-80.87983;25.01796
-80.89142;25.02078
-80.83611;24.97029
-80.84028;24.96695
-80.61308;25.08775
-80.58334;25.10048
-80.61026;25.08102
-80.60273;25.10351
-80.59387;25.07575
-80.62754;25.09267
-80.61846;25.10001
-80.5891;25.09202
-80.66992;25.05427
-80.6535;24.99532
-80.6685;25.05761
-80.68958;25.06718
-80.69069;25.06154
-80.64917;25.03006
-80.66245;24.99923
-80.64263;25.00479
-80.65504;25.05925
-80.65644;25.04814
-80.79597;25.10441
-80.64535;24.99809
-80.66389;25.06572
-80.64604;25.02508
-80.63874;24.99775
-80.80807;25.10699
-80.78867;25.10498
-80.80258;25.10687
-80.8002;25.105963
-80.73817;25.07195
-80.78822;25.10551
-80.75872;25.08709
-80.77937;25.08152
-80.74461;25.08268
-80.74973;25.07902
-80.78008;25.08661
-80.7699;25.09734
-80.74971;25.06927
-80.78751;25.06993
-80.78008;25.09888
-80.7653;25.08344
-80.7794;25.07002
-80.74194;25.0856
-80.75962;25.095
-80.76887;25.07903
-80.75971;25.07121
-80.77175;25.07286
-80.76164;25.0896
-80.77847;25.06589
-80.90409;25.0472
-80.91401;25.04902
-80.75491;25.06611
-80.92657;25.04907
-80.9313;25.0566
-80.91915;25.05025
-80.91099;25.05469
-80.7617;25.05774
-80.92883;25.03861
-80.92441;25.05609
-80.93587;25.05368
-80.93282;25.05117
-80.91859;25.03709
-80.9109;25.03631
-80.91112;25.05934
-80.91203;25.05793
-80.90631;25.06006
-80.91824;25.06476
-80.86602;24.97688
-80.93155;25.06277
-80.92111;25.03993
-80.9113;25.04442
-80.90834;25.06707
-80.86796;24.99069
-80.88812;24.98518
-80.90173;25.039
-80.87095;24.97937
-80.85259;24.98464
-80.8958;24.98794
-80.84598;24.98741
-80.84071;24.97691
-80.88103;24.99089
-80.90258;25.00589
-80.85509;24.98709
-80.83379;24.96234
-80.89358;25.01548
-80.86592;25.00774
-80.89561;25.00287
-80.87955;25.00507
-80.85349;24.99975
-80.86061;25.0059
