"Lon";"Lat"
"1551";-4.136605;50.337924
"1577";-8.87;40.169998
"1581";-6.281714;49.948413
"1582";-6.305126;49.976339
"1583";-4.124649;50.353434
"1584";-4.126174;50.356104
"1585";-4.129104;50.358749
"1588";-1.36589;49.69752
"1600";-5.03952;50.038943
"1602";-3.0333;35.9333
"1607";-4.151766;50.331348
"1622";-2.187223;50.61461
"1624";-3.42;43.419998
"1672";-5.093186;50.0915
"1673";-5.084107;50.102537
"1674";-5.084395;50.107027
"1676";-5.119012;50.101603
"1679";-5.078118;50.096399
"1688";-7.25;43.56
"1691";-8.84833;42.30278
"1692";-8.848333;42.302778
"1694";-4.154228;50.354688
"1695";-4.154737;50.334891
"1697";-4.14195;50.36301
"1698";-4.19661;50.328711
"1699";-4.124488;50.349839
"1700";-4.133399;50.360469
"1702";-4.178894;50.340737
"1705";-6.274485;49.929784
"1707";-6.278732;49.930527
"1708";-6.259079;49.944749
"1709";-6.274167;49.926196
"1710";-6.274405;49.928887
"1715";-1.83;43.39
"1716";-3.775622;50.229774
"1717";-5.029035;50.160661
"1718";-5.023103;50.155419
"1719";-5.051632;50.163668
"1720";-5.029524;50.146255
"1721";-5.01655;50.140296
"1722";-3.79166666666667;50.2083333333333
"1723";-3.774187;50.228896
"1724";-3.772719;50.22712
"1733";-6.275874;49.929732
"1737";-6.271469;49.958689
"1739";-6.273016;49.928938
"1744";-6.298828;49.976123
"1745";-6.298172;49.976597
"1746";-6.361095;49.947249
"1748";-6.361014;49.946353
"1751";-6.34833;49.960327
"1754";-6.29253;49.975907
"1756";-6.362475;49.962495
"1757";-6.384149;49.94008
"1758";-6.272898;49.94334
"1759";-6.250299;49.955869
"1761";-6.285816;49.978855
"1763";-6.276707;49.923403
"1767";-6.298493;49.980185
"1771";-6.298983;49.938775
"1772";-6.358003;49.928469
"1773";-6.296862;49.977546
"1774";-6.274087;49.925299
"1778";-6.395919;49.946832
"1781";-6.312985;49.923857
"1782";-6.320906;49.98115
"1784";-6.305715;49.967319
"1785";-6.285998;49.933857
"1797";-5.186003;49.972936
"1798";-5.082006;50.113388
"1799";-4.962992;50.156969
"1800";-5.269974;49.997586
"1801";-5.285877;49.96475
"1802";-5.52663;50.090823
"1803";-5.074751;50.087492
"1804";-4.906454;50.194381
"1805";-5.130897;50.005025
"1813";-5.063548;50.065299
"1816";-5.089142;50.028636
"1822";-6.245101;49.944362
"1825";-5.048228;50.044112
"1826";-8.81;42.200001
"1832";-4.649499;51.164754
"1834";-5.707619;50.13466
"1835";-5.81;43.630001
"1836";-5.017115;50.149278
"1837";-5.88;43.630001
"1840";-6.72;43.560001
"1843";-4.650342;51.162549
"1857";-3.43;43.49
"1858";-9.38044;39.35635
"1863";-9.18;43.13
"1868";-4.375;48.7083333333333
"1869";-4.53322;48.34142
"1871";-2.47832;47.28304
"1872";-4.161792;50.360925
"1873";-4.150343;50.339469
"1877";-3.98488;48.72695
"1878";3.23034;36.7823
"1879";3.23141;36.78172
"1880";3.24868;36.81856
"1881";3.22819;36.79435
"1882";3.23496;36.80228
"1883";3.16976;36.77851
"1884";3.23051;36.78009
"1885";3.23196;36.79201
"1886";3.22797;36.79493
"1887";-4.57134;48.60341
"1888";-4.56372;48.59825
"1889";-4.85085;48.03695
"1890";-4.852;48.037
"1891";-4.85156;48.03769
"1892";-4.065808;48.705707
"1894";-4.85076;48.03704
"1895";-8.87305;40.15129
"1896";-8.877;40.166
"1897";-8.87803;41.74717
"1898";-8.875;41.7916666666667
"1899";-8.8799;41.74896
"1900";-8.875;41.7916666666667
"1901";-5.8;35.76667
"1902";-5.80075;35.77667
"1903";-5.79725;35.77245
"1904";-8.79064;42.26812
"1905";-8.83425;42.25309
"1906";-8.85236;42.12012
"1907";-5.09763;48.4551
"1910";-3.03491;35.93907
"1912";-8.408;43.366
"1913";-8.41074;43.36841
"1914";-8.41219;43.37126
"1915";-8.402;43.36824
"1916";-8.41148;43.36581
"1917";-8.4114;43.36562
"1919";-5.804;35.77929
"1920";-5.7976;35.78059
"1924";-3.0167;35.9667
"1925";-2.19727;49.17643
"1929";-4.49267;48.38119
"1935";-2.91123;47.56788
"1936";-1.29363;49.69982
"1937";-1.27547;49.69723
"1940";-4.66262;48.06971
"1941";-3.64662;48.87138
"1942";-5.09961;48.43789
"1943";-2.33084;48.68806
"1944";-3.53844;48.81427
"3100";-5.041664;50.146
"4100";-2.04441;49.23792
"5100";-6.253051;49.93495
"7100";-6.260503;49.93567
"8100";-5.075469;50.08701
"9100";-6.273617;49.94286
"10100";-1.47919;49.69011
"12100";-4.488127;50.17505
"14100";-6.261334;49.97
"15100";-5.120161;50.0985
"16100";-8.7;41.2
"17100";-5.016212;50.14041
"18100";-2.237919;49.17643
"1945";-2.98495;48.86638
"2010";-2.080365;49.24059
"2110";-6.284998;49.97333
"2210";-5.042247;50.04483
"2310";-5.016334;50.14034
"2410";-4.082399;50.30315
"2510";-6.314701;49.92657
"2610";-8.853889;41.697222
"2810";-2.395244;49.4255
"2910";-1.944134;49.2578
"3110";-6.275773;49.9233
"3310";-5.164993;50.00183
"3410";-5.074501;50.09417
"3610";-6.350867;49.96268
"3810";-2.182212;49.0055
"3910";-3.05655;48.83898
"4010";-6.257334;49.971
"4110";-2.170226;49.71696
"4210";-5.064998;50.066
"4310";-3.884583735;43.47888785
"4710";-5.078836;50.09592
"4810";-8.853888889;41.69722222
"5010";-6.293249;49.97543
"5210";-3.88828;48.6769
"5510";-5.052812;50.06118
"5910";-5.087665;50.10317
"6010";-6.247338;49.94433
"6210";-2.241038;49.73833
"6310";-4.1360712;50.338249
"6410";-6.26;49.9355
"7310";-6.275192;49.93074
"7410";-4.60385;48.61549
"7510";-5.084824;50.10206
"7610";-6.298891;49.97612
"7910";-6.247172;49.9665
"8110";-2.181675;49.73164
"8210";-6.276264;49.93025
"8410";-4.668769;51.19615
"8510";-4.137212;50.33882
"8710";-3.056567;48.838983
"8810";-8.875;41.5416666666667
"8910";-6.29795;49.97683
"9110";-6.261584;49.94522
"9310";-6.252661;49.96911
"9510";-2.385834;49.40733
"9610";-6.257759;49.96977
"9910";-6.27367;49.97633
"10010";-4.13411;50.35999
"10110";-5.673871;50.0229
"10210";-8.875;41.625
"10410";-5.5344032;50.091936
"10510";-4.653417;51.16416
"10710";-4.154939;50.35421
"10810";-2.200738;49.25063
"10910";-5.04346;48.47204
"11210";-6.313705;49.92338
"11310";-4.262661;50.18021
"11410";-2.181883;49.1684
"12010";-4.653178;51.16398
"12410";-2.044643;49.23747
"12610";-4.652762;51.16372
"12810";-6.251018;49.95539
"13010";-6.306434;49.96684
"13310";-4.764547;50.24597
"13410";-2.377996;49.43125
"13510";-8.88;41.7502777777778
"13910";-6.271505;49.92767
"14310";-6.24483;49.967
"14410";-5.041667;50.14584
"14810";-4.112086;50.30598
"15110";-5.040338;50.15334
"15410";-3.465546636;43.48040742
"15610";-6.246336;49.94466
"15710";-5.051319;50.04537
"16310";-2.358335;49.40183
"16410";-9.29166666666667;43.0416666666667
"16510";-3.951233;47.721667
"16710";-6.260418;49.94497
"16910";-5.052365;50.04597
"17110";-5.051372;50.1461
"17310";-2.173621;49.71574
"17410";-8.71638888888889;41.205
"17510";-6.384868;49.9396
"17810";-3.917920059;43.48055197
"18310";-1.36331;50.60636
"19110";-5.048946;50.04363
"19210";-2.630416;48.64695
"19310";-2.185841;49.72914
"1951";-6.261163;49.93383
"1971";-2.185001;49.17666
"2061";-3.6466;48.871267
"2091";-5.051473;50.14593
"2101";-2.556337;49.42083
"2111";-5.052447;50.14628
"2141";-2.365283;49.40203
"2151";-2.346518;49.44795
"2161";-6.285063;49.98383
"2171";-2.161149;49.73005
"2181";-6.254712;49.97022
"2191";-5.14172;48.44537
"2201";-2.147031;49.14299
"2251";-2.248669;49.18062
"2261";-2.194347;49.17055
"2281";-5.063495;50.0558
"2301";-6.26584;49.9555
"2311";-4.085895495;43.43667929
"2381";-2.04441;49.2376
"2391";-4.94433;50.14008
"2421";-4.8077;48.490233
"2431";-8.87;41.79
"2451";-2.182678;49.00575
"2481";-5.029752;50.16018
"2571";-4.005867;48.759633
"2581";-2.079166;49.23828
"2591";-6.251494;49.96
"2611";-5.065004;50.06566
"2661";-8.87;41.75
"2681";-2.346683;49.44782
"2701";-6.264504;49.96988
"2711";-2.187923;50.61415
"2761";-4.152819;50.33221
"2771";-2.37522;49.7234
"2781";-4.029363942;43.45043839
"2801";-5.051173;50.14583
"2821";-2.219972;49.17307
"2831";-3.249933;47.316767
"2851";-2.049539;49.24256
"2861";-4.153181;50.35297
"2871";-5.085113;50.10655
"2881";-4.269157;50.17983
"2891";-6.286718;49.93338
"2901";-6.245501;49.94833
"2961";-2.194675;49.73014
"2971";-6.272188;49.95821
"3001";-6.245943;49.97583
"3071";-3.776326;50.228351
"3081";-6.268333;49.97484
"3091";-4.56915;48.35145
"3101";-5.050498;50.14083
"3141";-3.96295;47.844217
"3151";-5.467662201;43.55929886
"3161";-3.60821;50.3196
"3171";-2.167807;49.71989
"3211";-5.95833333333334;43.625
"3221";-3.983239;50.22345
"3251";-2.119368;49.25175
"3281";-6.260293;49.97007
"3291";-5.064265;50.06482
"3311";-2.528666;49.453
"3341";-2.325135;49.42523
"3351";-6.243471;49.94475
"3361";-2.167383;48.699133
"3391";-2.176229;49.71387
"3401";-4.11225;50.30683
"3411";-3.870068307;43.493604
"3421";-3.455806055;43.49071147
"3521";-2.019615;49.20803
"3541";-4.125199;50.34936
"3581";-2.369467;49.44507
"3621";-2.521297;49.47433
"3631";-3.921248206;43.48555853
"3661";-5.074668;50.09417
"3671";-2.015265;49.2931
"3681";-4.653026;51.16333
"3701";-2.17682;49.16816
"3731";-2.244972;49.17942
"3771";-6.28249;49.94856
"3791";-5.527349;50.09034
"3801";-4.086270452;43.43898981
"3831";-6.358722;49.92799
"3841";-3.474583;48.837417
"3851";-3.871244519;43.4893901
"3891";-4.717133;48.066083
"3911";-5.07967;50.09583
"3971";-5.186722;49.97245
"4011";-4.652832;51.16368
"4021";-6.312327;49.98
"4041";-4.738756;50.30939
"4051";-5.708337;50.13418
"4061";-6.258751;49.93683
"4081";-4.902699;50.1991
"4101";-6.312493;49.97983
"4141";-3.427733073;43.47157791
"4171";-6.274466;49.92726
"4191";-2.342838;49.43266
"4221";-3.981503;50.2245
"4231";-3.79166666666667;50.2083333333333
"4261";-2.032339;49.24334
"4291";-6.321625;49.98067
"4451";-4.11204;50.30717
"4531";-4.061787;50.2922
"4561";-2.172747;49.71575
"4571";-4.266827;50.18033
"4611";-4.560304;50.30167
"4681";-5.064929;50.06646
"4701";-6.311668;49.98183
"4731";-1.93741;49.2723
"4781";-2.182502;49.16887
"4791";-6.24334;49.945
"4821";-5.057338;50.14461
"4841";-2.358579;49.40129
"4931";-5.041668;50.14584
"4961";-4.268578;50.17915
"4981";-5.017267;50.13982
"4991";-5.662574;43.549548
"5001";-5.087648;50.10312
"5111";-5.660720817;43.55321933
"5131";-6.279154;49.93141
"5141";-3.955846;50.22863
"5161";-5.023819;50.15494
"5181";-6.277426;49.92292
"5211";-2.541119;49.41875
"5231";-2.181957;49.71195
"5291";-8.875;41.625
"5321";-4.1358912;50.362985
"5331";-6.274002;49.92973
"5341";-4.340734;50.2096
"5401";-2.194483;49.17006
"5421";-4.668732;51.19502
"5441";-6.305901;49.97649
"5491";-4.134979;50.3383
"5531";-6.384993;49.935
"5571";-6.34833;49.95667
"5611";-2.283284;49.73852
"5681";-4.908588;50.17317
"5721";-6.245821;49.94388
"5731";-5.051966;50.14642
"5741";-5.065478;50.03978
"5761";-4.185269;50.32431
"5771";-6.347615;49.95895
"5811";-2.021381;48.96471
"5821";-2.528584;49.4531
"5831";-6.275002;49.92183
"5841";-3.51346;48.88877
"5881";-2.526262;49.43857
"5901";-2.575834;49.41734
"5911";-2.358984;49.40207
"5941";-2.483994;49.44084
"5961";-4.128454;50.33758
"5971";-6.274807;49.92482
"5981";-4.185697;50.32295
"6011";-2.18334;49.71084
"6041";-2.033047;49.23396
"6061";-6.349049;49.95985
"6091";-6.363194;49.96201
"6141";-5.051944;50.14629
"6151";-2.080063;49.24077
"6171";-2.49335;47.18483
"6181";-2.368671;49.39983
"6191";-4.80771;48.49023
"6201";-8.782778;41.487222
"6251";-2.221592;49.69989
"6261";-4.268504;50.17996
"6271";-4.66873;51.19498
"6291";-2.080462;49.24063
"6301";-3.4200000762939;43.419998168945
"6311";-5.131615;50.00454
"6321";-2.526006;49.4225
"6341";-2.230398;49.17442
"6351";-4.142661;50.36253
"6461";-2.984967;48.866383
"6531";-4.197322;50.32823
"6561";-6.306579;49.96542
"6591";-3.02;35.9667
"6621";-4.144146;50.32277
"6671";-4.179606;50.34026
"6691";-6.246163;49.96708
"6721";-5.082724;50.11291
"6741";-5.286597;49.96427
"6751";-2.229415;49.69
"6771";-4.603867;48.615483
"6791";-2.021333;49.211
"6801";-6.259;49.96933
"6831";-4.087010728;43.44237736
"6881";-2.170172;49.71717
"6921";-5.063671;50.14316
"7021";-2.483938;49.44075
"7041";-6.361814;49.94677
"7051";-6.3489846;49.959853
"7061";-4.112187;50.30667
"7101";-6.362799;49.95735
"7121";-5.06533;50.06617
"7161";-4.142477;50.33035
"7171";-4.156588;50.36113
"7251";-4.963709;50.15649
"7261";-4.028821066;43.45996972
"7271";-6.250923;49.93817
"7311";-5.015194;50.13981
"7331";-6.27339;49.92928
"7401";-1.794153201;43.39964035
"7431";-2.165477;49.20125
"7441";-5.062685;50.04112
"7491";-5.093903;50.09102
"7531";-5.11973;50.10112
"7571";-6.261523;49.9439
"7581";-6.396638;49.94635
"7591";-5.081724;50.09997
"7721";-3.693141;50.20516
"7731";-2.161674;49.73331
"7741";-3.989837;50.30177
"7811";-5.051947;50.14612
"7911";-2.205292;49.29783
"7951";-5.120832;50.097
"7961";-2.139048;49.15637
"7971";-2.059416;49.26767
"7981";-2.347077;49.41583
"8031";-4.128217;50.33763
"8061";-2.202903;49.24898
"8081";-3.757098;50.21614
